EpochTime,PolarStrap.BeatSpacing
1350276358.063,0.939
1350276359.028,0.965
1350276359.946,0.918
1350276360.806,0.859
1350276361.678,0.872
1350276362.532,0.854
1350276363.423,0.891
1350276364.379,0.956
1350276365.382,1.003
1350276366.393,1.012
1350276367.354,0.961
1350276368.391,1.036
1350276369.409,1.019
1350276370.337,0.928
1350276371.259,0.922
1350276372.195,0.937
1350276373.193,0.998
1350276374.192,0.999
1350276375.146,0.954
1350276376.135,0.988
1350276377.142,1.007
1350276378.133,0.991
1350276379.139,1.006
1350276380.115,0.977
1350276381.037,0.922
1350276382,0.963
1350276383.04,1.04
1350276384.057,1.017
1350276385.124,1.067
1350276386.133,1.009
1350276387.078,0.945
1350276388.076,0.998
1350276389.089,1.013
1350276390.037,0.948
1350276391.026,0.989
1350276392.054,1.027
1350276393.036,0.982
1350276393.961,0.925
1350276394.859,0.898
1350276395.745,0.886
1350276396.716,0.971
1350276397.656,0.94
1350276398.585,0.929
1350276399.598,1.013
1350276400.579,0.981
1350276401.541,0.962
1350276402.519,0.979
1350276403.444,0.925
1350276404.357,0.913
1350276405.264,0.906
1350276406.152,0.889
1350276407.041,0.889
1350276407.948,0.907
1350276408.809,0.86
1350276409.696,0.888
1350276410.684,0.987
1350276411.661,0.978
1350276412.668,1.007
1350276413.624,0.956
1350276414.55,0.926
1350276415.459,0.909
1350276416.313,0.854
1350276417.121,0.808
1350276417.926,0.805
1350276418.779,0.854
1350276419.635,0.855
1350276420.531,0.896
1350276421.481,0.95
1350276422.473,0.991
1350276423.565,1.093
1350276424.687,1.122
1350276453.993,0.902
1350276454.912,0.919
1350276455.788,0.876
1350276456.674,0.886
1350276457.637,0.963
1350276458.623,0.986
1350276459.568,0.945
1350276460.551,0.982
1350276461.44,0.89
1350276462.291,0.851
1350276463.13,0.839
1350276463.925,0.795
1350276464.733,0.809
1350276465.554,0.82
1350276466.364,0.811
1350276467.149,0.785
1350276467.902,0.753
1350276468.656,0.754
1350276469.443,0.787
1350276470.273,0.83
1350276471.157,0.884
1350276472.084,0.927
1350276472.977,0.893
1350276473.916,0.939
1350276489.386,0.897
1350276490.267,0.881
1350276491.249,0.982
1350276492.318,1.068
1350276493.362,1.044
1350276494.425,1.063
1350276495.471,1.046
1350276496.424,0.953
1350276497.392,0.968
1350276498.336,0.944
1350276499.216,0.88
1350276500.141,0.925
1350276501.083,0.942
1350276501.991,0.907
1350276502.99,0.999
1350276504.032,1.042
1350276505.039,1.007
1350276506.099,1.061
1350276507.09,0.991
1350276508.058,0.968
1350276509.052,0.994
1350276509.985,0.933
1350276510.867,0.882
1350276511.78,0.913
1350276512.742,0.962
1350276513.694,0.952
1350276514.599,0.905
1350276515.581,0.981
1350276516.58,0.999
1350276517.515,0.936
1350276518.476,0.961
1350276519.454,0.978
1350276520.344,0.891
1350276521.223,0.879
1350276522.112,0.889
1350276522.975,0.863
1350276523.795,0.82
1350276524.607,0.812
1350276525.392,0.785
1350276526.158,0.766
1350276526.903,0.745
1350276527.639,0.736
1350276528.348,0.709
1350276529.079,0.73
1350276529.812,0.733
1350276530.554,0.742
1350276531.35,0.796
1350276532.24,0.89
1350276533.217,0.978
1350276534.024,0.807
1350276535.207,1.184
1350276554.224,0.951
1350276555.259,1.035
1350276556.354,1.096
1350276557.418,1.063
1350276558.493,1.075
1350276559.514,1.021
1350276560.505,0.991
1350276561.457,0.952
1350276562.392,0.935
1350276563.309,0.918
1350276564.16,0.851
1350276564.976,0.815
1350276565.806,0.83
1350276566.68,0.874
1350276567.557,0.877
1350276568.402,0.846
1350276568.762,0.359
1350276569.205,0.443
1350276569.776,0.571
1350276570.806,1.029
1350276571.572,0.767
1350276572.35,0.777
1350276573.11,0.761
1350276573.867,0.757
1350276574.645,0.778
1350276575.499,0.854
1350276576.485,0.986
1350276577.554,1.068
1350276578.656,1.103
1350276579.703,1.047
1350276580.744,1.041
1350276581.763,1.019
1350276582.732,0.97
1350276583.61,0.878
1350276584.443,0.833
1350276585.271,0.828
1350276586.131,0.859
1350276587.032,0.901
1350276587.984,0.952
1350276589.015,1.03
1350276589.984,0.97
1350276590.998,1.014
1350276592.033,1.035
1350276593.06,1.027
1350276594.027,0.967
1350276594.99,0.963
1350276595.947,0.957
1350276596.889,0.941
1350276597.771,0.883
1350276598.687,0.916
1350276599.615,0.928
1350276600.544,0.929
1350276601.45,0.906
1350276602.397,0.947
1350276603.363,0.966
1350276604.298,0.935
1350276605.256,0.958
1350276606.213,0.957
1350276607.161,0.948
1350276608.076,0.915
1350276609.039,0.963
1350276610.009,0.97
1350276610.95,0.941
1350276611.883,0.933
1350276612.825,0.942
1350276613.736,0.911
1350276614.595,0.858
1350276615.498,0.903
1350276616.41,0.912
1350276617.312,0.902
1350276618.204,0.892
1350276619.148,0.944
1350276620.128,0.979
1350276621.051,0.923
1350276621.989,0.938
1350276622.952,0.963
1350276623.881,0.929
1350276624.769,0.889
1350276625.686,0.917
1350276626.591,0.904
1350276627.44,0.85
1350276628.278,0.838
1350276629.132,0.854
1350276630.03,0.898
1350276630.954,0.924
1350276631.85,0.896
1350276632.812,0.963
1350276633.815,1.003
1350276634.784,0.969
1350276635.896,0.978
1350276636.88,0.96
1350276637.759,0.879
1350276638.626,0.867
1350276639.459,0.833
1350276640.242,0.783
1350276641.011,0.769
1350276641.813,0.803
1350276642.666,0.853
1350276643.578,0.912
1350276644.552,0.974
1350276645.601,1.05
1350276646.647,1.046
1350276647.689,1.042
1350276648.703,1.014
1350276649.614,0.911
1350276650.462,0.848
1350276651.318,0.856
1350276652.185,0.867
1350276653.076,0.891
1350276653.945,0.869
1350276654.831,0.886
1350276655.769,0.938
1350276656.721,0.951
1350276657.617,0.896
1350276658.567,0.95
1350276659.545,0.978
1350276660.489,0.944
1350276661.434,0.944
1350276662.428,0.994
1350276663.402,0.975
1350276664.312,0.91
1350276665.188,0.876
1350276666.092,0.903
1350276667.02,0.929
1350276667.935,0.915
1350276668.785,0.85
1350276669.628,0.843
1350276670.523,0.896
1350276671.472,0.948
1350276672.462,0.99
1350276673.449,0.987
1350276674.357,0.908
1350276675.243,0.886
1350276676.186,0.943
1350276677.152,0.966
1350276678.166,1.014
1350276679.186,1.021
1350276680.144,0.958
1350276681.149,1.005
1350276682.176,1.026
1350276683.154,0.979
1350276684.147,0.993
1350276685.185,1.038
1350276686.245,1.06
1350276687.266,1.021
1350276688.275,1.01
1350276689.304,1.028
1350276690.31,1.006
1350276691.231,0.922
1350276692.164,0.933
1350276693.108,0.944
1350276694.049,0.94
1350276694.935,0.887
1350276695.871,0.936
1350276696.854,0.983
1350276697.852,0.998
1350276698.811,0.959
1350276699.771,0.96
1350276700.739,0.968
1350276701.675,0.936
1350276702.551,0.876
1350276703.417,0.866
1350276704.316,0.899
1350276705.226,0.909
1350276706.139,0.913
1350276707.018,0.88
1350276707.956,0.938
1350276708.921,0.965
1350276709.885,0.964
1350276710.801,0.916
1350276711.741,0.94
1350276712.657,0.916
1350276713.52,0.863
1350276714.368,0.848
1350276715.239,0.871
1350276716.085,0.846
1350276716.891,0.806
1350276717.737,0.847
1350276718.577,0.84
1350276719.39,0.812
1350276720.223,0.833
1350276721.05,0.827
1350276721.92,0.87
1350276722.859,0.939
1350276723.766,0.906
1350276724.679,0.913
1350276725.561,0.883
1350276726.411,0.85
1350276727.215,0.804
1350276728.018,0.803
1350276728.811,0.794
1350276729.605,0.794
1350276730.402,0.797
1350276731.24,0.838
1350276732.205,0.965
1350276733.316,1.111
1350276734.41,1.094
1350276735.503,1.093
1350276736.587,1.084
1350276737.691,1.104
1350276738.758,1.066
1350276739.846,1.088
1350276740.87,1.024
1350276741.803,0.933
1350276742.714,0.911
1350276743.547,0.833
1350276744.389,0.842
1350276745.249,0.86
1350276746.16,0.911
1350276747.144,0.984
1350276748.1,0.955
1350276749.102,1.003
1350276750.118,1.016
1350276751.096,0.978
1350276752.113,1.018
1350276753.161,1.048
1350276754.128,0.967
1350276755.115,0.987
1350276756.111,0.996
1350276772.04,0.864
1350276772.856,0.815
1350276773.635,0.779
1350276774.422,0.787
1350276775.282,0.859
1350276776.323,1.041
1350276777.417,1.095
1350276778.514,1.097
1350276779.645,1.131
1350276780.716,1.071
1350276781.775,1.059
1350276782.787,1.013
1350276783.723,0.936
1350276784.614,0.891
1350276785.485,0.871
1350276786.342,0.857
1350276787.203,0.861
1350276788.072,0.868
1350276788.931,0.859
1350276802.266,0.971
1350276803.216,0.95
1350276804.098,0.882
1350276805.036,0.938
1350276806.028,0.992
1350276807.07,1.042
1350276808.126,1.056
1350276809.176,1.05
1350276817.573,1.024
1350276818.636,1.062
1350276819.688,1.052
1350276820.748,1.061
1350276821.791,1.043
1350276822.723,0.932
1350276823.625,0.902
1350276824.516,0.891
1350276825.389,0.873
1350276826.213,0.824
1350276827.033,0.82
1350276827.858,0.824
1350276828.672,0.814
1350276829.532,0.86
1350276830.375,0.843
1350276831.238,0.863
1350276832.105,0.866
1350276832.677,0.572
1350276832.931,0.254
1350276833.528,0.597
1350276834.51,0.982
1350276835.276,0.766
1350276835.529,0.253
1350276843.738,8.209
1350276844.518,0.78
1350276845.315,0.797
1350276846.111,0.796
1350276846.963,0.853
1350276847.807,0.844
1350276848.622,0.815
1350276849.465,0.795
1350276850.284,0.819
1350276851.128,0.844
1350276852.007,0.879
1350276852.911,0.904
1350276853.787,0.876
1350276854.653,0.866
1350276855.497,0.844
1350276856.313,0.816
1350276857.082,0.769
1350276857.827,0.745
1350276858.592,0.765
1350276859.342,0.75
1350276860.155,0.813
1350276861.056,0.9
1350276862.049,0.993
1350276862.994,0.945
1350276863.901,0.907
1350276864.92,1.019
1350276865.894,0.975
1350276866.974,1.079
1350276879.583,0.94
1350276880.496,0.913
1350276881.308,0.812
1350276882.116,0.808
1350276882.901,0.785
1350276883.702,0.801
1350276884.517,0.815
1350276885.338,0.821
1350276894.599,0.943
1350276895.512,0.913
1350276910.003,1.014
1350276911.038,1.034
1350276912.07,1.032
1350276913.049,0.979
1350276913.968,0.919
1350276914.941,0.973
1350276915.951,1.01
1350276933.59,0.797
1350276934.379,0.789
1350276935.155,0.776
1350276935.942,0.787
1350276936.738,0.796
1350276937.547,0.809
1350276938.353,0.807
1350276939.133,0.779
1350276939.911,0.778
1350276940.707,0.796
1350276941.525,0.818
1350276942.37,0.845
1350276943.197,0.827
1350276944.032,0.835
1350276944.887,0.854
1350276945.769,0.882
1350276946.653,0.885
1350276947.515,0.861
1350276948.402,0.888
1350276949.285,0.883
1350276950.134,0.849
1350276950.97,0.836
1350276951.788,0.818
1350276952.605,0.817
1350276953.41,0.805
1350276954.222,0.812
1350276955.011,0.789
1350276955.77,0.759
1350276956.55,0.78
1350276957.315,0.766
1350276958.102,0.786
1350276958.501,0.399
1350276958.883,0.382
1350276959.638,0.755
1350276960.388,0.75
1350276961.123,0.735
1350276961.853,0.729
1350276962.569,0.717
1350276963.271,0.702
1350276963.961,0.689
1350276964.639,0.678
1350276965.32,0.682
1350276965.99,0.67
1350276966.68,0.689
1350276967.407,0.728
1350276968.178,0.771
1350276969.159,0.981
1350276970.271,1.112
1350276971.382,1.11
1350276972.491,1.109
1350276973.587,1.096
1350276974.637,1.05
1350276975.601,0.964
1350276976.532,0.932
1350276977.429,0.896
1350276978.272,0.844
1350276979.069,0.797
1350276979.854,0.785
1350276980.626,0.771
1350276981.397,0.771
1350276982.161,0.764
1350276982.953,0.792
1350276983.781,0.828
1350276984.603,0.821
1350276985.385,0.782
1350276986.175,0.79
1350276986.95,0.775
1350276987.722,0.771
1350276988.509,0.787
1350276989.268,0.759
1350276990.005,0.737
1350276990.75,0.745
1350276991.471,0.721
1350277007.504,0.996
1350277008.511,1.007
1350277009.417,0.906
1350277010.281,0.864
1350277011.162,0.881
1350277012.079,0.917
1350277013.038,0.959
1350277031.684,1.012
1350277032.581,0.896
1350277033.405,0.824
1350277034.215,0.81
1350277035.039,0.824
1350277035.836,0.797
1350277036.625,0.789
1350277037.496,0.871
1350277038.426,0.93
1350277039.386,0.96
1350277040.259,0.873
1350277041.104,0.846
1350277041.969,0.864
1350277042.853,0.885
1350277043.787,0.934
1350277044.698,0.911
1350277045.629,0.931
1350277046.551,0.922
1350277047.495,0.944
1350277048.477,0.982
1350277049.558,1.081
1350277050.601,1.043
1350277051.581,0.979
1350277052.539,0.958
1350277053.479,0.94
1350277054.344,0.864
1350277055.221,0.877
1350277056.096,0.875
1350277056.996,0.9
1350277057.846,0.85
1350277058.698,0.853
1350277073.317,0.928
1350277074.285,0.968
1350277075.222,0.938
1350277076.174,0.951
1350277077.118,0.944
1350277078.055,0.937
1350277078.938,0.884
1350277079.789,0.851
1350277080.664,0.875
1350277081.563,0.899
1350277082.413,0.85
1350277083.31,0.897
1350277084.267,0.957
1350277085.194,0.927
1350277086.115,0.921
1350277087.11,0.995
1350277088.101,0.991
1350277089.029,0.928
1350277110.367,0.962
1350277111.316,0.948
1350277112.347,1.031
1350277113.4,1.053
1350277114.387,0.987
1350277115.359,0.972
1350277116.304,0.945
1350277117.188,0.884
1350277131.817,0.824
1350277132.605,0.788
1350277133.387,0.781
1350277134.187,0.801
1350277135.066,0.879
1350277136.019,0.952
1350277137.067,1.049
1350277138.12,1.053
1350277139.07,0.95
1350277140.017,0.946
1350277140.908,0.892
1350277141.787,0.879
1350277142.642,0.854
1350277143.457,0.815
1350277144.292,0.835
1350277145.116,0.824
1350277145.951,0.835
1350277146.813,0.862
1350277147.663,0.85
1350277148.517,0.854
1350277149.35,0.833
1350277150.128,0.778
1350277150.947,0.819
1350277151.813,0.866
1350277152.773,0.96
1350277153.788,1.015
1350277154.804,1.016
1350277155.792,0.988
1350277156.701,0.909
1350277157.572,0.871
1350277164.33,0.897
1350277165.26,0.93
1350277166.228,0.968
1350277167.212,0.984
1350277168.153,0.94
1350277169.099,0.946
1350277170.026,0.927
1350277170.888,0.862
1350277171.729,0.841
1350277172.57,0.841
1350277173.394,0.824
1350277174.227,0.833
1350277175.112,0.886
1350277176.086,0.974
1350277177.082,0.996
1350277178.075,0.993
1350277179.086,1.011
1350277180.059,0.973
1350277180.977,0.918
1350277181.876,0.899
1350277182.782,0.906
1350277183.706,0.924
1350277184.588,0.882
1350277185.452,0.864
1350277186.347,0.895
1350277187.274,0.927
1350277188.204,0.931
1350277189.099,0.895
1350277189.987,0.889
1350277190.816,0.828
1350277217.618,0.89
1350277218.48,0.862
1350277219.362,0.882
1350277229.221,0.964
1350277230.129,0.908
1350277231.035,0.906
1350277231.987,0.951
1350277232.933,0.946
1350277233.86,0.927
1350277234.847,0.987
1350277235.824,0.978
1350277236.751,0.927
1350277237.687,0.936
1350277238.63,0.943
1350277239.539,0.909
1350277240.483,0.943
1350277241.462,0.979
1350277242.416,0.954
1350277243.348,0.932
1350277244.304,0.956
1350277245.237,0.934
1350277246.105,0.867
1350277246.976,0.871
1350277247.877,0.901
1350277248.797,0.92
1350277249.687,0.89
1350277250.61,0.923
1350277251.539,0.93
1350277252.441,0.901
1350277253.376,0.936
1350277254.364,0.988
1350277255.322,0.958
1350277256.243,0.921
1350277257.184,0.94
1350277258.064,0.88
1350277258.937,0.873
1350277259.868,0.932
1350277260.879,0.964
1350277261.8,0.921
1350277262.754,0.954
1350277263.703,0.949
1350277264.616,0.913
1350277265.535,0.919
1350277266.472,0.937
1350277267.379,0.907
1350277268.26,0.881
1350277269.153,0.893
1350277270.019,0.866
1350277270.866,0.848
1350277271.761,0.895
1350277272.677,0.916
1350277273.546,0.869
1350277274.396,0.85
1350277275.28,0.884
1350277276.207,0.928
1350277277.161,0.954
1350277278.057,0.896
1350277278.95,0.894
1350277279.847,0.896
1350277280.716,0.869
1350277281.618,0.902
1350277282.572,0.954
1350277283.541,0.969
1350277284.511,0.97
1350277285.531,1.021
1350277286.556,1.024
1350277287.542,0.986
1350277288.567,1.024
1350277289.558,0.991
1350277290.479,0.921
1350277291.435,0.956
1350277292.353,0.918
1350277293.249,0.896
1350277294.22,0.971
1350277295.29,1.07
1350277296.32,1.029
1350277297.357,1.037
1350277298.413,1.057
1350277299.403,0.989
1350277300.419,1.017
1350277301.435,1.016
1350277302.371,0.937
1350277303.357,0.985
1350277304.345,0.988
1350277305.284,0.939
1350277306.267,0.982
1350277307.273,1.006
1350277308.194,0.921
1350277309.086,0.893
1350277310.021,0.935
1350277310.988,0.967
1350277311.902,0.914
1350277312.816,0.914
1350277313.791,0.976
1350277314.745,0.954
1350277315.675,0.93
1350277316.658,0.983
1350277317.649,0.99
1350277318.587,0.938
1350277319.554,0.967
1350277320.528,0.974
1350277321.442,0.914
1350277322.367,0.926
1350277323.3,0.933
1350277324.189,0.889
1350277325.05,0.861
1350277325.899,0.849
1350277342.712,0.959
1350277343.699,0.987
1350277344.693,0.993
1350277345.631,0.938
1350277346.592,0.961
1350277347.597,1.005
1350277348.6,1.003
1350277349.551,0.951
1350277350.535,0.984
1350277351.505,0.97
1350277352.416,0.911
1350277353.372,0.956
1350277362.699,0.887
1350277363.64,0.941
1350277364.581,0.94
1350277365.458,0.877
1350277366.36,0.902
1350277367.252,0.892
1350277368.105,0.854
1350277368.949,0.844
1350277369.818,0.869
1350277370.709,0.891
1350277371.57,0.861
1350277372.49,0.92
1350277373.453,0.963
1350277374.387,0.934
1350277375.394,1.008
1350277376.436,1.042
1350277377.416,0.979
1350277378.407,0.991
1350277379.378,0.971
1350277380.273,0.896
1350277381.188,0.915
1350277382.128,0.939
1350277383.069,0.941
1350277384.003,0.934
1350277385.025,1.022
1350277386.022,0.997
1350277386.971,0.948
1350277387.995,1.024
1350277389.027,1.032
1350277389.994,0.967
